,Price,Room,View Size,Age,Floortype,Location
0,"
24.000 TL",4 + 1,"
300 m2",10 Yaşında, ,"
Sarıyer,
 
Kumköy Mahallesi
"
1,"
24.000 TL",3 + 1,"
194 m2",8 Yaşında, 3. Kat,"
Sarıyer,
 
İstinye Mahallesi
"
2,"
38.000 TL",3 + 1,"
194 m2",8 Yaşında, Bahçe Katı,"
Sarıyer,
 
İstinye Mahallesi
"
3,"
10.000 TL",7 + 2,"
400 m2",35 Yaşında, ,"
Sarıyer,
 
Emirgan Mahallesi
"
4,"
37.500 TL",4 + 1,"
236 m2",2 Yaşında, 3. Kat,"
Beşiktaş,
 
Levazım Mahallesi
"
5,"
90.000 TL",6 + 1,"
600 m2",14 Yaşında, ,"
Beşiktaş,
 
Levent Mahallesi
"
6,"
37.500 TL",5 + 1,"
280 m2",5 Yaşında, 2. Kat,"
Beşiktaş,
 
Levazım Mahallesi
"
7,"
2.100 TL",1 + 1,"
70 m2",4 Yaşında, Yüksek Giriş,"
Kağıthane,
 
Emniyet Evleri Mahallesi
"
8,"
1.950 TL",1 + 1,"
60 m2",5 Yaşında, 3. Kat,"
Şişli,
 
Bozkurt Mahallesi
"
9,"
3.200 TL",2 + 1,"
105 m2",18 Yaşında, Giriş Katı,"
Maltepe,
 
Küçükyalı Mahallesi
"
10,"
10.000 TL",4 + 1,"
160 m2",25 Yaşında, Villa Katı,"
Sarıyer,
 
Yeniköy Mahallesi
"
11,"
1.700 TL",2 + 1,"
80 m2",4 Yaşında, Giriş Katı,"
Üsküdar,
 
Murat Reis Mahallesi
"
12,"
5.000 TL",3 + 1,"
155 m2",5 Yaşında, 4. Kat,"
Küçükçekmece,
 
Atatürk Mahallesi
"
13,"
30.000 TL",4 + 1,"
290 m2",5 Yaşında, ,"
Sarıyer,
 
Uskumruköy Mahallesi
"
14,"
11.000 TL",2 + 1,"
135 m2",35 Yaşında, Ara Kat,"
Beşiktaş,
 
Kuruçeşme Mahallesi
"
15,"
11.000 TL",2 + 1,"
100 m2",25 Yaşında, 3. Kat,"
Sarıyer,
 
İstinye Mahallesi
"
16,"
6.900 TL",3 + 1,"
189 m2",4 Yaşında, 8. Kat,"
Gaziosmanpaşa,
 
Karadeniz Mahallesi
"
17,"
6.000 TL",1 + 1,"
97 m2",20 Yaşında, 18. Kat,"
Şişli,
 
Fulya Mahallesi
"
18,"
12.000 TL",1 + 1,"
105 m2",10 Yaşında, 21 ve üzeri,"
Beşiktaş,
 
Dikilitaş Mahallesi
"
19,"
1.600 TL",2 + 1,"
95 m2",35 Yaşında, 4. Kat,"
Bahçelievler,
 
Şirinevler Mahallesi
"
20,"
2.900 TL",1 + 1,"
70 m2",1 Yaşında, 3. Kat,"
Eyüpsultan,
 
Göktürk Merkez Mahallesi
"
21,"
3.500 TL",4 + 1,"
180 m2",Sıfır Bina, Giriş Katı,"
Eyüpsultan,
 
Mithatpaşa Mahallesi
"
22,"
4.200 TL",2 + 1,"
130 m2",8 Yaşında, 5. Kat,"
Pendik,
 
Doğu Mahallesi
"
23,"
1.900 TL",2 + 1,"
70 m2",8 Yaşında, 5. Kat,"
Pendik,
 
Doğu Mahallesi
"
24,"
2.150 TL",1 + 1,"
80 m2",4 Yaşında, Yüksek Giriş,"
Kağıthane,
 
Ortabayır Mahallesi
"
25,"
2.900 TL",3 + 1,"
120 m2",33 Yaşında, 5. Kat,"
Kağıthane,
 
Emniyet Evleri Mahallesi
"
26,"
13.000 TL",2 + 1,"
135 m2",35 Yaşında, 2. Kat,"
Beşiktaş,
 
Kuruçeşme Mahallesi
"
